,,,,ECE,ECE,reliability,reliability,resolution,resolution,uncertainty,uncertainty,mean_pred,mean_pred,prevalence,prevalence,Brier,Brier,constant_baseline_Brier,constant_baseline_Brier,train_prevalence,train_prevalence,share_p_lt_0.1,share_p_lt_0.1,share_p_gt_0.9,share_p_gt_0.9,p_sd,p_sd
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Condition,Model,Test Set,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,None,LightGBM,In-domain Test,0.006347700937525083,0.002872789970852604,9.638681912651279e-05,3.9554598839658973e-05,0.0043990520346940355,0.0006068165946573389,0.10161288129477837,0.0011142144749889294,0.11182668688069054,0.001509561400348972,0.114791320611329,0.001445006327511009,0.09673707696770163,0.0013652053358583808,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.5399307396239479,0.012453074385876192,0.0,0.0,0.06982344388961792,0.0012847260652421918
Baseline,None,LightGBM,Shifted Test,0.011851602042215558,0.003206241734352769,0.0003662002124487102,0.0001729981124460483,0.003617172364606159,0.00019122519223097699,0.0932746213237839,0.0,0.11557955307350276,0.0029981845340603017,0.10411443739861377,0.0,0.08970020470075762,0.00010496614397610819,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.5011060315587671,0.03513986796372574,0.0,0.0,0.07044443488121033,0.0010354514550069355
Baseline,None,Logistic Regression,In-domain Test,0.012691379179239752,0.003701725726580761,0.0005106940800013764,0.00015428247236856229,0.003002001751898761,0.0005124754056242944,0.10161288129477837,0.0011142144749889294,0.1123325209962603,0.0017702683792511435,0.114791320611329,0.001445006327511009,0.0988502770729436,0.0013139783726512813,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.5449583251956603,0.011086752732778114,0.000187089061273219,0.00014585758079916784,0.07505939652522405,0.002315122480848488
Baseline,None,Logistic Regression,Shifted Test,0.010665424708851998,0.0025195053753327666,0.0007272472865260026,0.00012021010571510753,0.0026531512589783213,5.051010913953286e-05,0.0932746213237839,0.0,0.11001768010254459,0.0030969643804901565,0.10411443739861377,0.0,0.09119893500072344,0.0001518115080288667,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.5502138327680283,0.022320777675869076,0.0001966278326697144,0.00017028469818304844,0.07216572761535645,0.0012001902425061242
