Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,Logistic Regression,42,In-domain Test,9,1,0.9487407803535461,0.0
Baseline,None,Logistic Regression,42,Shifted Test,0,3796,0.06767638692915934,0.07560590094836671
Baseline,None,Logistic Regression,42,Shifted Test,1,2492,0.134881995400088,0.11998394863563402
Baseline,None,Logistic Regression,42,Shifted Test,2,372,0.23743559820677645,0.21236559139784947
Baseline,None,Logistic Regression,42,Shifted Test,3,71,0.3419278792932,0.29577464788732394
Baseline,None,Logistic Regression,42,Shifted Test,4,24,0.4335894510149956,0.25
Baseline,None,Logistic Regression,42,Shifted Test,5,10,0.544640201330185,0.2
Baseline,None,Logistic Regression,42,Shifted Test,6,3,0.647219200929006,1.0
Baseline,None,Logistic Regression,42,Shifted Test,7,3,0.7512848774592081,0.6666666666666666
Baseline,None,Logistic Regression,42,Shifted Test,8,8,0.8523263037204742,0.75
Baseline,None,Logistic Regression,42,Shifted Test,9,2,0.920674055814743,0.5
Baseline,None,Logistic Regression,43,In-domain Test,0,7815,0.06693932423320428,0.08496481126039668
Baseline,None,Logistic Regression,43,In-domain Test,1,5143,0.13572094464015802,0.1306630371378573
Baseline,None,Logistic Regression,43,In-domain Test,2,940,0.23814666101590115,0.20212765957446807
Baseline,None,Logistic Regression,43,In-domain Test,3,228,0.3409622629222117,0.2850877192982456
Baseline,None,Logistic Regression,43,In-domain Test,4,79,0.4387960958329937,0.26582278481012656
Baseline,None,Logistic Regression,43,In-domain Test,5,30,0.5380463798840841,0.5
Baseline,None,Logistic Regression,43,In-domain Test,6,16,0.6474737972021103,0.5625
Baseline,None,Logistic Regression,43,In-domain Test,7,10,0.7394480109214783,0.6
Baseline,None,Logistic Regression,43,In-domain Test,8,5,0.8458874583244324,0.4
Baseline,None,Logistic Regression,43,In-domain Test,9,2,0.9686585962772369,0.5
Baseline,None,Logistic Regression,43,Shifted Test,0,3839,0.06679947388182048,0.06954936181297212
Baseline,None,Logistic Regression,43,Shifted Test,1,2407,0.13465337891102233,0.13626921479019527
Baseline,None,Logistic Regression,43,Shifted Test,2,399,0.2345449807948636,0.18045112781954886
Baseline,None,Logistic Regression,43,Shifted Test,3,77,0.33742099303703804,0.23376623376623376
Baseline,None,Logistic Regression,43,Shifted Test,4,32,0.44647756312042475,0.21875
Baseline,None,Logistic Regression,43,Shifted Test,5,8,0.5428424999117851,0.125
Baseline,None,Logistic Regression,43,Shifted Test,6,6,0.6273025373617808,0.6666666666666666
Baseline,None,Logistic Regression,43,Shifted Test,7,3,0.7684210936228434,0.6666666666666666
Baseline,None,Logistic Regression,43,Shifted Test,8,8,0.8568893745541573,0.75
Baseline,None,Logistic Regression,43,Shifted Test,9,2,0.9030710756778717,0.5
Baseline,None,Logistic Regression,44,In-domain Test,0,7597,0.06753223324640781,0.08068974595234961
Baseline,None,Logistic Regression,44,In-domain Test,1,5315,0.1363569270703777,0.13339604891815615
Baseline,None,Logistic Regression,44,In-domain Test,2,974,0.23703581873457535,0.19507186858316222
Baseline,None,Logistic Regression,44,In-domain Test,3,220,0.3453320729461583,0.32727272727272727
Baseline,None,Logistic Regression,44,In-domain Test,4,75,0.44381194353103637,0.36
Baseline,None,Logistic Regression,44,In-domain Test,5,35,0.5405510101999556,0.4
Baseline,None,Logistic Regression,44,In-domain Test,6,18,0.6481467386086782,0.6111111111111112
Baseline,None,Logistic Regression,44,In-domain Test,7,16,0.746620137244463,0.875
Baseline,None,Logistic Regression,44,In-domain Test,8,5,0.8389387845993042,0.4
Baseline,None,Logistic Regression,44,In-domain Test,9,5,0.938715934753418,0.2
Baseline,None,Logistic Regression,44,Shifted Test,0,3558,0.0690970682598464,0.06970207982012366
Baseline,None,Logistic Regression,44,Shifted Test,1,2639,0.13588306673687034,0.12580522925350512
Baseline,None,Logistic Regression,44,Shifted Test,2,426,0.2336997393990906,0.19014084507042253
Baseline,None,Logistic Regression,44,Shifted Test,3,102,0.3389432652323854,0.23529411764705882
Baseline,None,Logistic Regression,44,Shifted Test,4,29,0.4470495684393521,0.2413793103448276
Baseline,None,Logistic Regression,44,Shifted Test,5,9,0.5404361221525404,0.1111111111111111
Baseline,None,Logistic Regression,44,Shifted Test,6,4,0.6468397378921509,0.5
Baseline,None,Logistic Regression,44,Shifted Test,7,6,0.7591993312040964,0.8333333333333334
Baseline,None,Logistic Regression,44,Shifted Test,8,8,0.8415176421403885,0.75
Baseline,None,Logistic Regression,44,Shifted Test,9,0,,
