model,scenario,rate,dAUROC_ID,dAUROC_SH,gap,dBrier_ID,dBrier_SH
Logistic Regression,MCAR,0.1,-0.00043114047020080076,-0.0007477985007293316,0.010514615718105899,0.00027156279925347193,0.0005166026988962699
Logistic Regression,MCAR,0.2,-0.0011183985326979802,-0.0017007115192083644,0.010248960762124067,0.0007431811626914716,0.0012197679686030323
Logistic Regression,MAR_Age_Older,0.1,-9.696850785856359e-05,1.932136746559306e-05,0.0109475636239586,0.00013465406492449428,2.3551450573033872e-05
Logistic Regression,MAR_Age_Older,0.2,-0.0002975134660704315,-4.31549930774248e-05,0.011085632221627466,0.0003739832995130754,0.00012601588974326763
LightGBM,MCAR,0.1,-0.0008421144187527781,-0.0011686360308159986,0.0067591623529491334,0.0005084784713345383,0.0007606599372532672
LightGBM,MCAR,0.2,-0.0015807551745944763,-0.0019228200481868167,0.006743619091420167,0.001045740228913632,0.0012562312410339717
LightGBM,MAR_Age_Older,0.1,-1.149429936675439e-05,-5.536059931621207e-05,0.007041817665062934,-9.64594825803485e-06,3.741053663873506e-05
LightGBM,MAR_Age_Older,0.2,5.1554352534751345e-05,-7.290708208943879e-05,0.006961222530388167,-1.9874357140334253e-05,5.348561172196601e-05
