model,rate,train_prev_noisy,AUROC_ID,AUROC_SH,gap,gap_sd,Brier_ID,Brier_SH
Logistic Regression,0.0,0.4561660211712442,0.844290538143779,0.8551218118924134,0.010831273748634435,0.0006254147980520247,0.15641874172150605,0.15079548185257657
Logistic Regression,0.05,0.460189839763775,0.8410315932060214,0.8520327515791776,0.0110011583731561,0.00040273570961311435,0.15939879451504121,0.1539109786723306
Logistic Regression,0.1,0.46450403701762255,0.8396510642237246,0.8505717716158814,0.0109207073921568,0.00028820983292911326,0.163247305463492,0.15807281775289972
Logistic Regression,0.2,0.47293758870062463,0.8382877856375632,0.8491611575979828,0.010873371960419667,0.0003437326627775958,0.17568119095121978,0.1714041009605954
LightGBM,0.0,0.4561660211712442,0.9036812184305224,0.9107669023955349,0.0070856839650125,0.0011146739979592752,0.12353067778001253,0.11939375303006221
LightGBM,0.05,0.460189839763775,0.903166283098888,0.9104235937564131,0.007257310657525066,0.001312188919811533,0.12496039798750325,0.12084065365166957
LightGBM,0.1,0.46450403701762255,0.9025414116039981,0.9096490005215094,0.007107588917511134,0.001440496648541614,0.12917728488548508,0.12539156455998804
LightGBM,0.2,0.47293758870062463,0.9009911734800342,0.9081086415957272,0.007117468115692901,0.0013107227143796052,0.14525073549822654,0.14212196614715664
