model,group,AUROC_ID,dAUROC_ID,dAUROC_ID_sd,AUROC_SH,dAUROC_SH,dAUROC_SH_sd,Brier_ID,dBrier_ID,Brier_SH,dBrier_SH
Logistic Regression,Education,0.8360865517787704,-0.008203986365008556,0.00032215275660235675,0.8464614262072345,-0.008660385685178943,0.00012373903330559511,0.1600797112499371,0.003660969528431035,0.15497541084076152,0.004179928988184968
Logistic Regression,Disability,0.8325859500269596,-0.011704588116819478,0.0005925917892255869,0.8433704844166247,-0.011751327475788812,6.150301053031743e-05,0.16596464805060543,0.00954590632909936,0.1597211027324037,0.008925620879827132
Logistic Regression,Citizenship_Nativity_Ancestry,0.8436171266317319,-0.0006734115120469545,0.0002740894938652042,0.8552324916128541,0.00011067972044057998,2.217998344250616e-05,0.1563000287424194,-0.00011871297908666589,0.15090775918497243,0.0001122773323958363
LightGBM,Education,0.8966852102703148,-0.00699600816020766,0.00021558466167996316,0.9054520938424409,-0.005314808553094075,7.818922691940202e-05,0.12761604030876303,0.004085362528750469,0.12276416136008213,0.0033704083300199333
LightGBM,Disability,0.8938819720014664,-0.009799246429056052,0.0005409167548215871,0.9001949936704055,-0.010571908725129512,0.00010576563167110327,0.1315269038800304,0.00799622610001787,0.12751677515409343,0.008123022124031232
LightGBM,Citizenship_Nativity_Ancestry,0.900266741111408,-0.003414477319114336,0.00038946966199761204,0.9080884823332118,-0.00267842006232318,0.00015012478718973802,0.12540552458461482,0.0018748468046022686,0.12107086523954426,0.001677112209482065
