Model,Feature Group Blanked,Test Set,Random Seed,prevalence,mean_pred_clean,mean_pred_blanked,sd_pred_clean,sd_pred_blanked,share_gt0.5_clean,share_gt0.5_blanked,corr_clean_blanked,spearman_clean_blanked,Brier_clean,Brier_blanked,AUROC_clean,AUROC_blanked
LightGBM,Diagnoses,In-domain Test,43.0,0.11479132061132895,0.44311625758806866,0.43678103884061176,0.1516192257404327,0.14283679425716397,0.3613732539396433,0.3436633472638486,0.8993097800720938,0.8904348571195778,0.21282007793585453,0.20805307726065314,0.6744943640559876,0.6683076960940725
LightGBM,Diagnoses,Shifted Test,43.0,0.1041144373986137,0.4442332684993744,0.43964547912279767,0.1467743615309397,0.14069724082946775,0.37088924937324874,0.3627291943174556,0.8981135193669528,0.8892741862006518,0.21436317265033722,0.21109882990519202,0.6605055627445724,0.6576020548930003
LightGBM,Medications,In-domain Test,43.0,0.11479132061132895,0.44311625758806866,0.40860973795255023,0.1516192257404327,0.15695531169573462,0.3613732539396433,0.2943092864012917,0.9455408005080104,0.9375751630811099,0.21282007793585453,0.19278805454572043,0.6744943640559876,0.6696658205736715
LightGBM,Medications,Shifted Test,43.0,0.1041144373986137,0.4442332684993744,0.4056118627389272,0.1467743615309397,0.151305948694547,0.37088924937324874,0.283635648626063,0.9387828377371997,0.9324498025550172,0.21436317265033722,0.19073472917079917,0.6605055627445724,0.6550901735856095
Logistic Regression,Diagnoses,In-domain Test,43.0,0.11479132061132895,0.45273005962371826,0.6495997309684753,0.16303469240665433,0.08926961570978158,0.3684557610329082,0.9731186902741119,0.715303262431313,0.6846509683798021,0.22614222764968872,0.3863738973935445,0.6306687348561506,0.636521496939431
Logistic Regression,Diagnoses,Shifted Test,43.0,0.1041144373986137,0.4495230515797933,0.6520405610402426,0.15659556786219272,0.08610007663567858,0.357272771960871,0.9808287863147028,0.7058377763322454,0.6741208899362503,0.22358182072639465,0.39314048488934833,0.6237979381122808,0.631712229488958
Logistic Regression,Medications,In-domain Test,43.0,0.11479132061132895,0.45273005962371826,0.6634601950645447,0.16303469240665433,0.14999171594778693,0.3684557610329082,0.8724680551820079,0.9651379023870895,0.9876609695714285,0.22614222764968872,0.41195149223009747,0.6306687348561506,0.6302821439512932
Logistic Regression,Medications,Shifted Test,43.0,0.1041144373986137,0.4495230515797933,0.6608488957087199,0.15659556786219272,0.14335560301939643,0.357272771960871,0.8763702502089171,0.967024337075424,0.9873416410380633,0.22358182072639465,0.41347965598106384,0.6237979381122808,0.6214339173923688
