Random Seed,statistic,model,boot_mean,ci_lo,ci_hi,B
42,gap_AUROC,LightGBM,-0.0259508509798891,-0.0530389191686725,0.0013419688438046,1000
42,gap_AUPRC,LightGBM,-0.0215745396356321,-0.0627021986636697,0.0252667314874254,1000
42,gap_Brier,LightGBM,0.0059471031210252,0.0015184637087639,0.0098856937092971,1000
42,diff_shifted_AUROC_LGBM_minus_LR,both,0.0353505811883584,0.0145918409524731,0.0563656402910797,1000
42,diff_gap_AUROC_LGBM_minus_LR,both,-0.0086877462565062,-0.0323499755853482,0.0143652601906313,1000
43,gap_AUROC,LightGBM,-0.0038531878106454,-0.0296647482656057,0.0260204486200382,1000
43,gap_AUPRC,LightGBM,-0.0080087814153656,-0.049185242942593,0.0374567185501247,1000
43,gap_Brier,LightGBM,-0.002052459881268,-0.0068517350863497,0.0027828231299696,1000
43,diff_shifted_AUROC_LGBM_minus_LR,both,0.0371820525554858,0.0189916172287096,0.0561350505260481,1000
43,diff_gap_AUROC_LGBM_minus_LR,both,-0.0059517526195888,-0.0276525551937165,0.0161820477775218,1000
44,gap_AUROC,LightGBM,-0.0118843381680522,-0.0408801514834207,0.0190792723917886,1000
44,gap_AUPRC,LightGBM,-0.0244709955544155,-0.0768888621240924,0.0324767723906592,1000
44,gap_Brier,LightGBM,0.0006957948771069,-0.0037583889002211,0.0053759328956105,1000
44,diff_shifted_AUROC_LGBM_minus_LR,both,0.0373815996343025,0.0178571234370903,0.0559558207999541,1000
44,diff_gap_AUROC_LGBM_minus_LR,both,-0.0066974818130391,-0.0301947034828323,0.0170610336081437,1000
42,gap_AUROC,Logistic Regression,-0.0183061690223286,-0.0497285516845302,0.0143567147292847,1000
43,gap_AUROC,Logistic Regression,0.0026446690541956,-0.0287257580712559,0.0346754840069403,1000
44,gap_AUROC,Logistic Regression,-0.0058985503016289,-0.0371373962423392,0.023118169037803,1000
