model,pipeline,AUROC_ID,AUROC_SH,gap,Brier_ID,Brier_SH,Brier_SH_noise20
Logistic Regression,All features numeric (as implemented),0.844290538143779,0.8551218118924134,0.010831273748634435,0.15641874172150605,0.15079548185257657,0.1714041009605954
Logistic Regression,Nominal codes one-hot encoded,0.8684676822215777,0.8788269675522985,0.010359285330720733,0.1428201381602386,0.13673710180071005,0.16016538480650663
LightGBM,All features numeric (as implemented),0.9036812184305224,0.9107669023955349,0.0070856839650125,0.12353067778001253,0.11939375303006221,0.14212196614715664
LightGBM,Nominal codes one-hot encoded,0.9033384893095734,0.9107083201360885,0.0073698308265151,0.1237857415461806,0.11942455986858656,0.1422419583510539
