model,metric,ID_mean,ID_sd,SH_mean,SH_sd,gap_mean,gap_sd
Logistic Regression,AUROC,0.844290538143779,0.000766751356174846,0.8551218118924134,0.00015344410519203542,0.010831273748634435,0.0006254147980520247
Logistic Regression,AUPRC,0.7673059381276629,0.0006897393854725072,0.7856722172517401,0.0002007393084950508,0.018366279124077164,0.0008901754536901923
Logistic Regression,Brier Score,0.15641874172150605,0.00046808941229797087,0.15079548185257657,0.0001272486219356993,-0.005623259868929434,0.00036361857897105
LightGBM,AUROC,0.9036812184305224,0.0012126596546951853,0.9107669023955349,0.0001165226907375953,0.0070856839650125,0.0011146739979592752
LightGBM,AUPRC,0.8619847690467587,0.0011487880028346244,0.8751184693182047,0.00025886833264279925,0.0131337002714459,0.0009650921030174559
LightGBM,Brier Score,0.12353067778001253,0.0007515109616672601,0.11939375303006221,4.759776844835339e-05,-0.004136924749950266,0.0007334767756107056
