model,metric,ID_mean,ID_sd,SH_mean,SH_sd,gap_mean,gap_sd
Logistic Regression,AUROC,0.6306687671520842,0.009060494916885292,0.6237979769718307,0.0016851484809843656,-0.006870790180253533,0.010182356453679138
Logistic Regression,AUPRC,0.19765189029340682,0.007583690615795768,0.18184126306171822,0.0019909920800465614,-0.015810627231688603,0.0058667146678579914
Logistic Regression,Brier Score,0.2261422292194735,0.002550029383240454,0.2235818235999849,0.005536323909944705,-0.0025604056194885,0.0043170737789567475
LightGBM,AUROC,0.6744943718058808,0.009477718702504669,0.6605056016041223,0.0026996937196047286,-0.0139887702017583,0.011246250662483552
LightGBM,AUPRC,0.22370864821454758,0.012026584161076841,0.20648777146414088,0.0031269486618776955,-0.017220876750406632,0.008904297636348807
LightGBM,Brier Score,0.2128200762171677,0.0016384201910099373,0.21436318380853078,0.0034112059433798448,0.0015431075913631001,0.004077689793511418
