weighting,model,set,AUROC,AP,Brier,ECE,reliability,mean_pred
Balanced,Logistic Regression,ID,0.6306687671520842,0.19765189029340682,0.2261422291919195,0.3379387473301491,0.12707835127322412,0.4527300679414781
Balanced,Logistic Regression,SH,0.6237979769718307,0.18184126306171822,0.22358182360841758,0.3457452158449536,0.13244289389059316,0.4495230564310669
Balanced,LightGBM,ID,0.6744943718058808,0.22370864821454758,0.2128200761319591,0.32832494508555804,0.11576069922382957,0.443116265696887
Balanced,LightGBM,SH,0.6605056016041223,0.20648777146414088,0.21436318372345198,0.34015491112146656,0.1245842159595995,0.4442332784658947
None,Logistic Regression,ID,0.6340642082456658,0.19981642975790312,0.09885027707294353,0.012691379179239667,0.0005106940800013334,0.11233252099626023
None,Logistic Regression,SH,0.627334118296242,0.18231914957329054,0.0911989350007234,0.010665424708851933,0.0007272472865259334,0.11001768010254458
None,LightGBM,ID,0.6750476595048758,0.22690590562847102,0.0967370769677016,0.006347700937525034,9.638681912649897e-05,0.11182668688069049
None,LightGBM,SH,0.6650442415975938,0.20505199251882064,0.08970020470075757,0.0118516020422155,0.00036620021244866663,0.1155795530735027
