model,group,AUROC_ID,dAUROC_ID,dAUROC_ID_sd,AUROC_SH,dAUROC_SH,dAUROC_SH_sd,Brier_ID,dBrier_ID,Brier_SH,dBrier_SH
Logistic Regression,Diagnoses,0.6365215372904629,0.005852770138378667,0.009597424892380505,0.6317121906294081,0.007914213657577421,0.0036754961396460047,0.3863739006344371,0.16023167141496367,0.3931404819596707,0.16955865835968578
Logistic Regression,Medications,0.6302821189670903,-0.00038664818499382453,0.0014714057645801655,0.6214338396732689,-0.002364137298561775,0.000576794890135146,0.4119515017773315,0.18580927255785804,0.4134796525787172,0.18989782897873222
LightGBM,Diagnoses,0.6683077298480323,-0.006186641957848275,0.008167815374417572,0.6576020548930003,-0.0029035467111221034,0.0061957683280621356,0.20805307014307176,-0.004767006074095942,0.2110988298079405,-0.003264354000590238
LightGBM,Medications,0.6696658286000617,-0.004828543205818899,0.0026371114183501914,0.6550901347260596,-0.005415466878062751,0.0008921343651006206,0.19278805896556575,-0.020032017251601947,0.19073472777532205,-0.023628456033208744
