model,rate,train_prev_noisy,AUROC_ID,AUROC_SH,gap,gap_sd,Brier_ID,Brier_SH
Logistic Regression,0.0,0.11145045059388574,0.6306687671520842,0.6237979769718307,-0.006870790180253533,0.010182356453679138,0.2261422292194735,0.2235818235999849
Logistic Regression,0.05,0.15046838345637079,0.6238829562723456,0.6290015038645823,0.005118547592236701,0.006909153143748076,0.23473631156989047,0.23561918861170417
Logistic Regression,0.1,0.18889868043645686,0.6146206656234454,0.6236469687608078,0.0090263031373623,0.008215926060514654,0.23997727502502586,0.24980063885897896
Logistic Regression,0.2,0.2668691503390354,0.5947063655502198,0.6068122345406995,0.012105868990479635,0.001425185530993053,0.24536000633302835,0.2612303413241368
LightGBM,0.0,0.11145045059388574,0.6744943718058808,0.6605056016041223,-0.0139887702017583,0.011246250662483552,0.2128200762171677,0.21436318380853078
LightGBM,0.05,0.15046838345637079,0.6659849540761283,0.6518391447790252,-0.014145809297103134,0.016273086127015196,0.2253127049475243,0.22854460601248014
LightGBM,0.1,0.18889868043645686,0.6547132987543746,0.6429391031993067,-0.011774195555067798,0.01765648889056174,0.23288623858283766,0.24996238150149094
LightGBM,0.2,0.2668691503390354,0.6339074654184297,0.6170030349308494,-0.0169044304875802,0.022893451627635474,0.24094623155478676,0.26644787289737193
