model,variant,AUROC_ID,AUROC_SH,gap,AP_SH,Brier_ID,Brier_SH
Logistic Regression,Main protocol (42 predictors),0.6306687671520842,0.6237979769718307,-0.006870790180253533,0.18184126306171822,0.2261422292194735,0.2235818235999849
Logistic Regression,$-$ admission\_source\_id,0.630639732786564,0.6238366033644599,-0.0068031294221041995,0.18186680413742695,0.22615884509920117,0.217099241870808
Logistic Regression,ID codes as categorical,0.6561103632198303,0.6352636426164912,-0.02084672060333903,0.19258782631728213,0.22030438063742822,0.20574697885115997
LightGBM,Main protocol (42 predictors),0.6744943718058808,0.6605056016041223,-0.0139887702017583,0.20648777146414088,0.2128200762171677,0.21436318380853078
LightGBM,$-$ admission\_source\_id,0.6727911670206916,0.6579328662415432,-0.014858300779148398,0.20458523284009908,0.2130595024918003,0.21267089216170176
LightGBM,ID codes as categorical,0.6759952062160224,0.6585096585411347,-0.0174855476748875,0.20263065659216759,0.21312729475953943,0.21076084796629443
