seed,noise_rate,train_prevalence_clean,train_prevalence_noisy,n_flipped
42,0.0,0.4561660211712442,0.4561660211712442,0
42,0.05,0.4561660211712442,0.46011441673486164,13259
42,0.1,0.4561660211712442,0.46451912162340525,26517
42,0.2,0.4561660211712442,0.4735133178213304,53034
43,0.0,0.4561660211712442,0.4561660211712442,0
43,0.05,0.4561660211712442,0.4604161088505153,13259
43,0.1,0.4561660211712442,0.464888694465081,26517
43,0.2,0.4561660211712442,0.4730004412247191,53034
44,0.0,0.4561660211712442,0.4561660211712442,0
44,0.05,0.4561660211712442,0.46003899370594825,13259
44,0.1,0.4561660211712442,0.4641042949643815,26517
44,0.2,0.4561660211712442,0.47229900705582434,53034
