Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,Logistic Regression,42,In-domain Test,1,2455,0.14951262987861808,0.14012219959266803
Baseline,None,Logistic Regression,42,In-domain Test,2,2398,0.2517099104467484,0.23436196830692244
Baseline,None,Logistic Regression,42,In-domain Test,3,2804,0.35078897604588605,0.3159771754636234
Baseline,None,Logistic Regression,42,In-domain Test,4,3840,0.4526227064042663,0.40260416666666665
Baseline,None,Logistic Regression,42,In-domain Test,5,5264,0.5524277512471002,0.5075987841945289
Baseline,None,Logistic Regression,42,In-domain Test,6,6911,0.65229972773084,0.6353639126030965
Baseline,None,Logistic Regression,42,In-domain Test,7,10158,0.7532140456754689,0.7371529828706438
Baseline,None,Logistic Regression,42,In-domain Test,8,9100,0.8458681096480443,0.7975824175824175
Baseline,None,Logistic Regression,42,In-domain Test,9,692,0.9113383339664151,0.880057803468208
Baseline,None,Logistic Regression,42,Shifted Test,0,67439,0.0232815784496092,0.01853526890968134
Baseline,None,Logistic Regression,42,Shifted Test,1,12925,0.14883437275021866,0.14390715667311413
Baseline,None,Logistic Regression,42,Shifted Test,2,12230,0.2509252208841695,0.25674570727718726
Baseline,None,Logistic Regression,42,Shifted Test,3,14196,0.35151078961800103,0.34601296139757676
Baseline,None,Logistic Regression,42,Shifted Test,4,18446,0.45270180106356905,0.4191694676352597
Baseline,None,Logistic Regression,42,Shifted Test,5,24863,0.5518639447395336,0.5416080119052408
Baseline,None,Logistic Regression,42,Shifted Test,6,31078,0.6520783526264214,0.6635883905013192
Baseline,None,Logistic Regression,42,Shifted Test,7,43909,0.7525379747975627,0.7479787742831766
Baseline,None,Logistic Regression,42,Shifted Test,8,39819,0.8452669859453412,0.8150631608026319
Baseline,None,Logistic Regression,42,Shifted Test,9,3195,0.9112325160716062,0.9167449139280125
Baseline,None,Logistic Regression,43,In-domain Test,0,13193,0.024546764868947493,0.011445463503373
Baseline,None,Logistic Regression,43,In-domain Test,1,2413,0.14887502720024492,0.12888520513883134
Baseline,None,Logistic Regression,43,In-domain Test,2,2393,0.25066859967231353,0.22983702465524447
