Random Seed,statistic,model,boot_mean,ci_lo,ci_hi,B
42,gap_AUROC,LightGBM,-0.025950850979889112,-0.05303891916867254,0.0013419688438046273,1000
42,gap_AUPRC,LightGBM,-0.021574539635632172,-0.06270219866366976,0.025266731487425434,1000
42,gap_Brier,LightGBM,0.005947103121025276,0.001518463708763914,0.009885693709297181,1000
42,diff_shifted_AUROC_LGBM_minus_LR,both,0.035350581188358474,0.01459184095247317,0.05636564029107976,1000
42,diff_gap_AUROC_LGBM_minus_LR,both,-0.008687746256506219,-0.03234997558534829,0.014365260190631312,1000
43,gap_AUROC,LightGBM,-0.0038531878106454745,-0.0296647482656057,0.026020448620038224,1000
43,gap_AUPRC,LightGBM,-0.008008781415365665,-0.049185242942593084,0.03745671855012472,1000
43,gap_Brier,LightGBM,-0.002052459881268001,-0.0068517350863497055,0.00278282312996965,1000
43,diff_shifted_AUROC_LGBM_minus_LR,both,0.03718205255548585,0.018991617228709616,0.05613505052604813,1000
43,diff_gap_AUROC_LGBM_minus_LR,both,-0.005951752619588889,-0.027652555193716562,0.016182047777521854,1000
44,gap_AUROC,LightGBM,-0.011884338168052247,-0.04088015148342074,0.019079272391788638,1000
44,gap_AUPRC,LightGBM,-0.0244709955544155,-0.07688886212409245,0.03247677239065922,1000
44,gap_Brier,LightGBM,0.000695794877106909,-0.0037583889002211894,0.005375932895610547,1000
44,diff_shifted_AUROC_LGBM_minus_LR,both,0.037381599634302515,0.017857123437090356,0.055955820799954155,1000
44,diff_gap_AUROC_LGBM_minus_LR,both,-0.006697481813039118,-0.03019470348283238,0.017061033608143705,1000
42,gap_AUROC,Logistic Regression,-0.018306169022328678,-0.04972855168453026,0.014356714729284794,1000
43,gap_AUROC,Logistic Regression,0.0026446690541956554,-0.028725758071255915,0.0346754840069403,1000
44,gap_AUROC,Logistic Regression,-0.005898550301628921,-0.03713739624233925,0.023118169037803064,1000
