Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,42,In-domain Test,0.6388296094476478,0.19845406583590314,0.22464599044136124
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,42,Shifted Test,0.6205488522831928,0.18041742445634076,0.22400962102954144
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,42,In-domain Test,0.6838348921561623,0.22770986186232275,0.2116593247996603
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,42,Shifted Test,0.6666256309819419,0.2062882607639065,0.2238911791328601
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,42,In-domain Test,0.6397569281252826,0.19942868290888782,0.2235075205926013
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,42,Shifted Test,0.6219993238438313,0.18325879366749082,0.22198555025933275
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,42,In-domain Test,0.6838405815313187,0.2274119139271969,0.2112899360267793
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,42,Shifted Test,0.6576497744203128,0.20728612459332374,0.21728723024994384
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,42,In-domain Test,0.6398593368780944,0.19994680909654244,0.2224407290806216
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,42,Shifted Test,0.6230970284102169,0.1838271265571202,0.22000002259879273
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,42,In-domain Test,0.6830773147494923,0.22513420856206076,0.2115000334327363
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,42,Shifted Test,0.6562964128749461,0.20323261070282275,0.21799518241712065
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,42,In-domain Test,0.6412008915399289,0.20068791068464215,0.2211736738285383
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,42,Shifted Test,0.6229219272782383,0.18364710502458437,0.21765401564061065
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,42,In-domain Test,0.6808476733621872,0.22944996859680733,0.21056584912542167
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,42,Shifted Test,0.6601709043005863,0.20370167780566728,0.21476593215694587
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,42,In-domain Test,0.6529069046059005,0.2049845868070635,0.3737051910579144
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,42,Shifted Test,0.6341232702642837,0.17924511388248224,0.3799154066899146
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,42,In-domain Test,0.6820905297332682,0.22804236458438748,0.21567228437313238
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,42,Shifted Test,0.6611387402511104,0.19706954040253272,0.22356953287116524
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,42,In-domain Test,0.6378291204582214,0.1989326432297345,0.39486690388732953
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,42,Shifted Test,0.6201888574126535,0.18097851645197838,0.3952510964907451
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,42,In-domain Test,0.6764983192101603,0.2216197340697883,0.1802770488393325
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,42,Shifted Test,0.6521605521164853,0.20355073848193972,0.18639951911151542
Baseline,None,0.0,None,0.0,None,Logistic Regression,43,In-domain Test,0.6216361940752239,0.18933755166450017,0.22632099550644724
Baseline,None,0.0,None,0.0,None,Logistic Regression,43,Shifted Test,0.6240543722822602,0.17956501420259235,0.21901900736972826
