Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Medications,LightGBM,44,Shifted Test,1,387,0.16130531569629986,0.03875968992248062
Feature Shift,Medications,LightGBM,44,Shifted Test,2,1163,0.2559696422731272,0.058469475494411005
Feature Shift,Medications,LightGBM,44,Shifted Test,3,1460,0.3485939403306948,0.06986301369863014
Feature Shift,Medications,LightGBM,44,Shifted Test,4,1551,0.4505215026846553,0.10444874274661509
Feature Shift,Medications,LightGBM,44,Shifted Test,5,1410,0.5496453864777342,0.1326241134751773
Feature Shift,Medications,LightGBM,44,Shifted Test,6,581,0.6381485287786146,0.20309810671256454
Feature Shift,Medications,LightGBM,44,Shifted Test,7,114,0.747053854821021,0.2807017543859649
Feature Shift,Medications,LightGBM,44,Shifted Test,8,41,0.8375094213136812,0.4634146341463415
Feature Shift,Medications,LightGBM,44,Shifted Test,9,3,0.9074628750483195,1.0
Feature Shift,Medications,Logistic Regression,42,In-domain Test,0,27,0.06787471011005065,0.037037037037037035
Feature Shift,Medications,Logistic Regression,42,In-domain Test,1,102,0.1642026226310169,0.029411764705882353
Feature Shift,Medications,Logistic Regression,42,In-domain Test,2,282,0.2549265118989539,0.05673758865248227
Feature Shift,Medications,Logistic Regression,42,In-domain Test,3,511,0.35586193227254714,0.0547945205479452
Feature Shift,Medications,Logistic Regression,42,In-domain Test,4,1141,0.4581816648569784,0.060473269062226116
Feature Shift,Medications,Logistic Regression,42,In-domain Test,5,2553,0.5554380352666133,0.07520564042303172
Feature Shift,Medications,Logistic Regression,42,In-domain Test,6,4075,0.6521556076389149,0.0947239263803681
Feature Shift,Medications,Logistic Regression,42,In-domain Test,7,3550,0.7470939914777245,0.13971830985915493
Feature Shift,Medications,Logistic Regression,42,In-domain Test,8,1596,0.8416539472072644,0.18107769423558898
Feature Shift,Medications,Logistic Regression,42,In-domain Test,9,355,0.9330434141024737,0.35492957746478876
Feature Shift,Medications,Logistic Regression,42,Shifted Test,0,11,0.07443631948395209,0.0
Feature Shift,Medications,Logistic Regression,42,Shifted Test,1,51,0.16291281668578877,0.058823529411764705
Feature Shift,Medications,Logistic Regression,42,Shifted Test,2,120,0.2593635463466247,0.058333333333333334
Feature Shift,Medications,Logistic Regression,42,Shifted Test,3,250,0.3550455641746521,0.06
Feature Shift,Medications,Logistic Regression,42,Shifted Test,4,558,0.45850489291238955,0.07526881720430108
Feature Shift,Medications,Logistic Regression,42,Shifted Test,5,1252,0.5549137086247484,0.07268370607028754
Feature Shift,Medications,Logistic Regression,42,Shifted Test,6,1983,0.6503365612126214,0.08421583459404942
Feature Shift,Medications,Logistic Regression,42,Shifted Test,7,1683,0.7451624602557504,0.11942959001782531
Feature Shift,Medications,Logistic Regression,42,Shifted Test,8,744,0.8390625567045263,0.1868279569892473
Feature Shift,Medications,Logistic Regression,42,Shifted Test,9,129,0.9343884467154511,0.3178294573643411
Feature Shift,Medications,Logistic Regression,43,In-domain Test,0,46,0.06849697260590999,0.043478260869565216
Feature Shift,Medications,Logistic Regression,43,In-domain Test,1,121,0.15584317231473843,0.01652892561983471
Feature Shift,Medications,Logistic Regression,43,In-domain Test,2,218,0.25422804399367865,0.05963302752293578
Feature Shift,Medications,Logistic Regression,43,In-domain Test,3,453,0.35549495472813286,0.0728476821192053
Feature Shift,Medications,Logistic Regression,43,In-domain Test,4,1067,0.45674874314439556,0.06841611996251172
Feature Shift,Medications,Logistic Regression,43,In-domain Test,5,2364,0.5555369699162679,0.07571912013536379
Feature Shift,Medications,Logistic Regression,43,In-domain Test,6,3852,0.6519093246877131,0.10332294911734165
Feature Shift,Medications,Logistic Regression,43,In-domain Test,7,3762,0.7479324142296602,0.1238702817650186
Feature Shift,Medications,Logistic Regression,43,In-domain Test,8,1958,0.841740170465183,0.17926455566905006
Feature Shift,Medications,Logistic Regression,43,In-domain Test,9,427,0.9325090356397964,0.2997658079625293
Feature Shift,Medications,Logistic Regression,43,Shifted Test,0,17,0.06832350538495709,0.058823529411764705
Feature Shift,Medications,Logistic Regression,43,Shifted Test,1,31,0.15325426454505614,0.16129032258064516
Feature Shift,Medications,Logistic Regression,43,Shifted Test,2,107,0.2553207794918078,0.07476635514018691
Feature Shift,Medications,Logistic Regression,43,Shifted Test,3,204,0.3573297921056841,0.058823529411764705
Feature Shift,Medications,Logistic Regression,43,Shifted Test,4,536,0.4569904761416699,0.055970149253731345
Feature Shift,Medications,Logistic Regression,43,Shifted Test,5,1265,0.555148322356077,0.06798418972332015
Feature Shift,Medications,Logistic Regression,43,Shifted Test,6,1917,0.6506127609395708,0.08868022952529994
Feature Shift,Medications,Logistic Regression,43,Shifted Test,7,1720,0.7464524828763895,0.11744186046511627
Feature Shift,Medications,Logistic Regression,43,Shifted Test,8,832,0.8408763940231159,0.17668269230769232
Feature Shift,Medications,Logistic Regression,43,Shifted Test,9,152,0.9364495712675547,0.29605263157894735
Feature Shift,Medications,Logistic Regression,44,In-domain Test,0,22,0.07007498615844683,0.0
Feature Shift,Medications,Logistic Regression,44,In-domain Test,1,91,0.15487967194109173,0.03296703296703297
Feature Shift,Medications,Logistic Regression,44,In-domain Test,2,212,0.2571801834933038,0.05660377358490566
Feature Shift,Medications,Logistic Regression,44,In-domain Test,3,354,0.3530025211094463,0.06497175141242938
Feature Shift,Medications,Logistic Regression,44,In-domain Test,4,800,0.4582029202207923,0.0725
Feature Shift,Medications,Logistic Regression,44,In-domain Test,5,1956,0.5568397870641545,0.06748466257668712
Feature Shift,Medications,Logistic Regression,44,In-domain Test,6,3658,0.6532359244459767,0.09212684527063969
Feature Shift,Medications,Logistic Regression,44,In-domain Test,7,4179,0.7487442164251068,0.12060301507537688
Feature Shift,Medications,Logistic Regression,44,In-domain Test,8,2426,0.8421063039141653,0.16694146743610883
Feature Shift,Medications,Logistic Regression,44,In-domain Test,9,562,0.9324311754033234,0.3185053380782918
Feature Shift,Medications,Logistic Regression,44,Shifted Test,0,3,0.04047500900924206,0.0
Feature Shift,Medications,Logistic Regression,44,Shifted Test,1,25,0.14301697552204132,0.08
Feature Shift,Medications,Logistic Regression,44,Shifted Test,2,78,0.2591763205635242,0.0641025641025641
Feature Shift,Medications,Logistic Regression,44,Shifted Test,3,148,0.3612614519692756,0.08108108108108109
Feature Shift,Medications,Logistic Regression,44,Shifted Test,4,376,0.456501517761895,0.06382978723404255
Feature Shift,Medications,Logistic Regression,44,Shifted Test,5,973,0.5575253684743703,0.06680369989722508
Feature Shift,Medications,Logistic Regression,44,Shifted Test,6,1733,0.6540022874181145,0.07501442585112522
Feature Shift,Medications,Logistic Regression,44,Shifted Test,7,2088,0.7486024730449892,0.10344827586206896
Feature Shift,Medications,Logistic Regression,44,Shifted Test,8,1146,0.8413097690433315,0.16753926701570682
Feature Shift,Medications,Logistic Regression,44,Shifted Test,9,211,0.9336506518142483,0.2843601895734597
Label Noise,0% Noise,LightGBM,42,In-domain Test,0,103,0.07934727422097354,0.0
Label Noise,0% Noise,LightGBM,42,In-domain Test,1,557,0.15994601203145417,0.03052064631956912
Label Noise,0% Noise,LightGBM,42,In-domain Test,2,1802,0.2582553652147209,0.041620421753607105
Label Noise,0% Noise,LightGBM,42,In-domain Test,3,3148,0.3524754452016181,0.0724269377382465
Label Noise,0% Noise,LightGBM,42,In-domain Test,4,3496,0.4497571770843434,0.09525171624713959
Label Noise,0% Noise,LightGBM,42,In-domain Test,5,3119,0.5470123830113742,0.1484450144277012
Label Noise,0% Noise,LightGBM,42,In-domain Test,6,1292,0.6407834439085733,0.2089783281733746
Label Noise,0% Noise,LightGBM,42,In-domain Test,7,549,0.7423428376298568,0.29143897996357016
Label Noise,0% Noise,LightGBM,42,In-domain Test,8,125,0.8358324108123779,0.48
Label Noise,0% Noise,LightGBM,42,In-domain Test,9,1,0.9028463959693909,0.0
Label Noise,0% Noise,LightGBM,42,Shifted Test,0,44,0.07933158757673069,0.0
Label Noise,0% Noise,LightGBM,42,Shifted Test,1,214,0.15349987894296646,0.018691588785046728
Label Noise,0% Noise,LightGBM,42,Shifted Test,2,781,0.2590026371801098,0.06658130601792574
Label Noise,0% Noise,LightGBM,42,Shifted Test,3,1470,0.35389801553722955,0.05782312925170068
Label Noise,0% Noise,LightGBM,42,Shifted Test,4,1698,0.4489359956748073,0.09187279151943463
Label Noise,0% Noise,LightGBM,42,Shifted Test,5,1626,0.5481138276657935,0.12238622386223862
Label Noise,0% Noise,LightGBM,42,Shifted Test,6,718,0.6398778835046922,0.19080779944289694
Label Noise,0% Noise,LightGBM,42,Shifted Test,7,177,0.7436930685393555,0.2655367231638418
Label Noise,0% Noise,LightGBM,42,Shifted Test,8,46,0.8317598221094712,0.4782608695652174
Label Noise,0% Noise,LightGBM,42,Shifted Test,9,7,0.9150604775973729,0.5714285714285714
Label Noise,0% Noise,LightGBM,43,In-domain Test,0,164,0.0718503394050569,0.006097560975609756
Label Noise,0% Noise,LightGBM,43,In-domain Test,1,662,0.15876191201707027,0.03625377643504532
Label Noise,0% Noise,LightGBM,43,In-domain Test,2,1856,0.2568015891111231,0.05387931034482758
Label Noise,0% Noise,LightGBM,43,In-domain Test,3,3137,0.35269651360332416,0.07299968122409946
Label Noise,0% Noise,LightGBM,43,In-domain Test,4,3417,0.4495884658807476,0.11120866256950541
Label Noise,0% Noise,LightGBM,43,In-domain Test,5,2863,0.5451058072515855,0.14320642682500873
Label Noise,0% Noise,LightGBM,43,In-domain Test,6,1443,0.6429535393407587,0.19889119889119888
Label Noise,0% Noise,LightGBM,43,In-domain Test,7,533,0.7424305624854498,0.2570356472795497
Label Noise,0% Noise,LightGBM,43,In-domain Test,8,191,0.8287198250206353,0.39790575916230364
Label Noise,0% Noise,LightGBM,43,In-domain Test,9,2,0.9052897393703461,0.5
Label Noise,0% Noise,LightGBM,43,Shifted Test,0,92,0.07535096338909605,0.0
Label Noise,0% Noise,LightGBM,43,Shifted Test,1,276,0.1633881760518188,0.03260869565217391
Label Noise,0% Noise,LightGBM,43,Shifted Test,2,902,0.2580440253052373,0.05321507760532151
Label Noise,0% Noise,LightGBM,43,Shifted Test,3,1513,0.35218222686492756,0.07468605419695969
Label Noise,0% Noise,LightGBM,43,Shifted Test,4,1622,0.44946084301068956,0.08508014796547472
Label Noise,0% Noise,LightGBM,43,Shifted Test,5,1409,0.546182983263407,0.1270404542228531
Label Noise,0% Noise,LightGBM,43,Shifted Test,6,721,0.6448906455059819,0.20110957004160887
Label Noise,0% Noise,LightGBM,43,Shifted Test,7,178,0.7367158957411734,0.25842696629213485
Label Noise,0% Noise,LightGBM,43,Shifted Test,8,68,0.8385003621087355,0.4117647058823529
Label Noise,0% Noise,LightGBM,43,Shifted Test,9,0,,
Label Noise,0% Noise,LightGBM,44,In-domain Test,0,83,0.08607437344918768,0.012048192771084338
Label Noise,0% Noise,LightGBM,44,In-domain Test,1,595,0.15582757259116453,0.03865546218487395
Label Noise,0% Noise,LightGBM,44,In-domain Test,2,1846,0.2598746386260795,0.051462621885157094
Label Noise,0% Noise,LightGBM,44,In-domain Test,3,3293,0.35070837367605445,0.07440024293956879
Label Noise,0% Noise,LightGBM,44,In-domain Test,4,3123,0.4506592189238845,0.09574127441562601
Label Noise,0% Noise,LightGBM,44,In-domain Test,5,3022,0.5474992213384905,0.14162806088682992
Label Noise,0% Noise,LightGBM,44,In-domain Test,6,1593,0.6414612917052973,0.20841180163214063
Label Noise,0% Noise,LightGBM,44,In-domain Test,7,554,0.748346222006457,0.2870036101083033
Label Noise,0% Noise,LightGBM,44,In-domain Test,8,150,0.8279690861701965,0.47333333333333333
Label Noise,0% Noise,LightGBM,44,In-domain Test,9,1,0.9121546149253845,0.0
Label Noise,0% Noise,LightGBM,44,Shifted Test,0,57,0.08496119827032089,0.0
Label Noise,0% Noise,LightGBM,44,Shifted Test,1,275,0.1554780773953958,0.02909090909090909
Label Noise,0% Noise,LightGBM,44,Shifted Test,2,843,0.26026146734312333,0.05693950177935943
Label Noise,0% Noise,LightGBM,44,Shifted Test,3,1485,0.34991536501682163,0.061952861952861954
Label Noise,0% Noise,LightGBM,44,Shifted Test,4,1526,0.45135681010870604,0.09567496723460026
Label Noise,0% Noise,LightGBM,44,Shifted Test,5,1558,0.5486629411712078,0.12259306803594351
Label Noise,0% Noise,LightGBM,44,Shifted Test,6,833,0.6390455436735165,0.18967587034813926
Label Noise,0% Noise,LightGBM,44,Shifted Test,7,147,0.7430319254901133,0.24489795918367346
Label Noise,0% Noise,LightGBM,44,Shifted Test,8,53,0.8336084192653872,0.4339622641509434
Label Noise,0% Noise,LightGBM,44,Shifted Test,9,4,0.9082783609628677,1.0
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,0,168,0.07183729788743048,0.041666666666666664
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,1,633,0.15676950489128183,0.05055292259083728
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,2,1554,0.25845459392210385,0.06113256113256113
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,3,3072,0.35451941791689023,0.078125
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,4,3656,0.449875294795378,0.09682713347921225
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,5,2664,0.545241354128441,0.14527027027027026
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,6,1509,0.6428409353876209,0.15705765407554673
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,7,632,0.7456669954559471,0.22151898734177214
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,8,238,0.8435465535696816,0.36134453781512604
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,9,66,0.9404656200697927,0.42424242424242425
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,0,73,0.0706297411417512,0.0684931506849315
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,1,302,0.15982328986884742,0.059602649006622516
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,2,738,0.2596130755737545,0.06639566395663957
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,3,1480,0.3539590739317842,0.075
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,4,1798,0.44796804061057965,0.08954393770856507
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,5,1284,0.543602650317819,0.11292834890965732
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,6,716,0.644288641031228,0.16620111731843576
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,7,279,0.7400809325624965,0.22580645161290322
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,8,83,0.8413196658513632,0.25301204819277107
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,9,28,0.950831168464252,0.5
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,0,214,0.06298662563481272,0.03271028037383177
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,1,604,0.1576802179784767,0.06622516556291391
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,2,1656,0.2570834103161874,0.06944444444444445
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,3,3101,0.35284844079312877,0.08384392131570462
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,4,3446,0.44884313438876866,0.10504933255948927
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,5,2686,0.5458274682732722,0.13067758749069247
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,6,1530,0.6440018501936221,0.16405228758169935
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,7,701,0.7436490315683558,0.2268188302425107
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,8,256,0.8414135796483606,0.25390625
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,9,74,0.9383001134202287,0.47297297297297297
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,0,64,0.061234414592036046,0.09375
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,1,305,0.15880629891743425,0.06229508196721312
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,2,842,0.25838678689439054,0.06532066508313539
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,3,1623,0.3534171369365168,0.07578558225508318
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,4,1655,0.4492478140891499,0.08700906344410876
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,5,1220,0.5461311727762223,0.12704918032786885
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,6,665,0.6448129784791989,0.16390977443609023
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,7,287,0.7417347217270721,0.21951219512195122
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,8,87,0.8427713575034306,0.19540229885057472
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,9,33,0.9479433803847341,0.45454545454545453
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,0,180,0.06744146125598086,0.03333333333333333
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,1,605,0.15471391948786647,0.07107438016528926
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,2,1556,0.2577409402474493,0.06555269922879177
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,3,3087,0.35392876435222076,0.07936507936507936
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,4,3447,0.44916830254458745,0.10385842761821874
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,5,2725,0.5467124240114054,0.1324770642201835
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,6,1575,0.6453226787703378,0.16507936507936508
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,7,740,0.7438018950256141,0.2
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,8,249,0.8427096909308529,0.3293172690763052
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,9,96,0.940803112462163,0.5
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,0,53,0.06900571675022256,0.09433962264150944
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,1,242,0.15909327191015907,0.07851239669421488
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,2,749,0.258551757509145,0.05874499332443257
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,3,1424,0.35329401539115424,0.07162921348314606
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,4,1727,0.4496560324874308,0.08164447017950202
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,5,1372,0.5457892411825608,0.11734693877551021
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,6,758,0.6456874455657043,0.17810026385224276
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,7,310,0.7381440322245321,0.18387096774193548
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,8,114,0.8387996371377978,0.22807017543859648
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,9,32,0.94848851300776,0.5
Label Noise,10% Noise,LightGBM,42,In-domain Test,0,0,,
Label Noise,10% Noise,LightGBM,42,In-domain Test,1,12,0.17101460322737694,0.0
Label Noise,10% Noise,LightGBM,42,In-domain Test,2,225,0.2671444149812063,0.022222222222222223
Label Noise,10% Noise,LightGBM,42,In-domain Test,3,1782,0.3641714451857555,0.058922558922558925
Label Noise,10% Noise,LightGBM,42,In-domain Test,4,6794,0.45403586203451185,0.08213129231675008
Label Noise,10% Noise,LightGBM,42,In-domain Test,5,4215,0.5372584224454308,0.14519572953736654
Label Noise,10% Noise,LightGBM,42,In-domain Test,6,954,0.6327247422821117,0.2526205450733753
Label Noise,10% Noise,LightGBM,42,In-domain Test,7,201,0.7365970317997149,0.4079601990049751
Label Noise,10% Noise,LightGBM,42,In-domain Test,8,9,0.8143551283412509,0.3333333333333333
Label Noise,10% Noise,LightGBM,42,In-domain Test,9,0,,
Label Noise,10% Noise,LightGBM,42,Shifted Test,0,0,,
Label Noise,10% Noise,LightGBM,42,Shifted Test,1,9,0.16266258226500618,0.0
Label Noise,10% Noise,LightGBM,42,Shifted Test,2,103,0.2695952613376877,0.07766990291262135
Label Noise,10% Noise,LightGBM,42,Shifted Test,3,877,0.3643857273299719,0.052451539338654506
Label Noise,10% Noise,LightGBM,42,Shifted Test,4,2901,0.4552338616842239,0.06894174422612892
Label Noise,10% Noise,LightGBM,42,Shifted Test,5,2281,0.5386259870955632,0.13634370889960543
Label Noise,10% Noise,LightGBM,42,Shifted Test,6,523,0.6355577673100604,0.2198852772466539
Label Noise,10% Noise,LightGBM,42,Shifted Test,7,70,0.7345038958958217,0.22857142857142856
Label Noise,10% Noise,LightGBM,42,Shifted Test,8,17,0.838052535758299,0.5882352941176471
Label Noise,10% Noise,LightGBM,42,Shifted Test,9,0,,
Label Noise,10% Noise,LightGBM,43,In-domain Test,0,3,0.07692606250445048,0.0
Label Noise,10% Noise,LightGBM,43,In-domain Test,1,22,0.15378213944760236,0.045454545454545456
Label Noise,10% Noise,LightGBM,43,In-domain Test,2,172,0.2643475049110346,0.06395348837209303
Label Noise,10% Noise,LightGBM,43,In-domain Test,3,1737,0.36706329026850876,0.0690846286701209
Label Noise,10% Noise,LightGBM,43,In-domain Test,4,7026,0.45183825820743817,0.08411614005123826
Label Noise,10% Noise,LightGBM,43,In-domain Test,5,4179,0.5374488488399517,0.14668581000239292
Label Noise,10% Noise,LightGBM,43,In-domain Test,6,874,0.6388937246472121,0.2334096109839817
Label Noise,10% Noise,LightGBM,43,In-domain Test,7,242,0.7381087130258891,0.4049586776859504
Label Noise,10% Noise,LightGBM,43,In-domain Test,8,13,0.8130936439220722,0.5384615384615384
Label Noise,10% Noise,LightGBM,43,In-domain Test,9,0,,
Label Noise,10% Noise,LightGBM,43,Shifted Test,0,0,,
Label Noise,10% Noise,LightGBM,43,Shifted Test,1,3,0.1717028667529424,0.0
Label Noise,10% Noise,LightGBM,43,Shifted Test,2,56,0.26766905268388136,0.07142857142857142
Label Noise,10% Noise,LightGBM,43,Shifted Test,3,652,0.3680413483750601,0.049079754601226995
Label Noise,10% Noise,LightGBM,43,Shifted Test,4,3294,0.4535695469661706,0.0734669095324833
Label Noise,10% Noise,LightGBM,43,Shifted Test,5,2310,0.5378303986607176,0.13766233766233765
Label Noise,10% Noise,LightGBM,43,Shifted Test,6,382,0.635366799631668,0.20680628272251309
Label Noise,10% Noise,LightGBM,43,Shifted Test,7,67,0.7460252019896436,0.29850746268656714
Label Noise,10% Noise,LightGBM,43,Shifted Test,8,17,0.8211440373869503,0.6470588235294118
Label Noise,10% Noise,LightGBM,43,Shifted Test,9,0,,
Label Noise,10% Noise,LightGBM,44,In-domain Test,0,0,,
Label Noise,10% Noise,LightGBM,44,In-domain Test,1,7,0.18236405295985086,0.0
Label Noise,10% Noise,LightGBM,44,In-domain Test,2,214,0.26701487886292913,0.0514018691588785
Label Noise,10% Noise,LightGBM,44,In-domain Test,3,1635,0.3685625783711763,0.05688073394495413
Label Noise,10% Noise,LightGBM,44,In-domain Test,4,6843,0.4472841381477923,0.08402747333041063
Label Noise,10% Noise,LightGBM,44,In-domain Test,5,4285,0.5409216365569391,0.14399066511085182
Label Noise,10% Noise,LightGBM,44,In-domain Test,6,1022,0.6389202727496974,0.25244618395303325
Label Noise,10% Noise,LightGBM,44,In-domain Test,7,240,0.7306962524851163,0.3875
Label Noise,10% Noise,LightGBM,44,In-domain Test,8,14,0.8241380964006696,0.42857142857142855
Label Noise,10% Noise,LightGBM,44,In-domain Test,9,0,,
Label Noise,10% Noise,LightGBM,44,Shifted Test,0,0,,
Label Noise,10% Noise,LightGBM,44,Shifted Test,1,16,0.17071342980489135,0.0
Label Noise,10% Noise,LightGBM,44,Shifted Test,2,231,0.2703043298545854,0.03896103896103896
Label Noise,10% Noise,LightGBM,44,Shifted Test,3,949,0.3562282478344579,0.05690200210748156
Label Noise,10% Noise,LightGBM,44,Shifted Test,4,1429,0.4540126738304688,0.06997900629811056
Label Noise,10% Noise,LightGBM,44,Shifted Test,5,2075,0.551024523413325,0.10698795180722892
Label Noise,10% Noise,LightGBM,44,Shifted Test,6,1755,0.6397171113565776,0.1361823361823362
Label Noise,10% Noise,LightGBM,44,Shifted Test,7,287,0.7360218316835809,0.2264808362369338
Label Noise,10% Noise,LightGBM,44,Shifted Test,8,37,0.8347555624472128,0.40540540540540543
Label Noise,10% Noise,LightGBM,44,Shifted Test,9,2,0.9108864068984985,1.0
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,0,13,0.08397566412503903,0.0
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,1,113,0.1610647966772054,0.04424778761061947
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,2,466,0.25864779191339476,0.055793991416309016
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,3,1937,0.36261214956710436,0.0743417656169334
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,4,5938,0.45293199898579095,0.09262377905018525
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,5,4032,0.5420648104969471,0.12896825396825398
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,6,1303,0.6401248259079612,0.18956254796623176
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,7,319,0.7368218646527831,0.26332288401253917
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,8,65,0.8413399861409114,0.4
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,9,6,0.9298302431901296,0.6666666666666666
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,0,1,0.09095991402864456,0.0
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,1,41,0.17075475923171857,0.12195121951219512
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,2,173,0.25880932919896404,0.09248554913294797
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,3,843,0.36348051967569944,0.06761565836298933
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,4,2820,0.45456306152309933,0.07375886524822695
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,5,2135,0.5418557715639297,0.12084309133489461
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,6,601,0.6378357166458485,0.18801996672212978
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,7,142,0.7357377200059487,0.24647887323943662
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,8,14,0.84321842449052,0.42857142857142855
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,9,11,0.9335617639801719,0.7272727272727273
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,0,16,0.07912138197571039,0.0
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,1,156,0.161566477173414,0.10256410256410256
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,2,482,0.2593345678569865,0.08506224066390042
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,3,1935,0.3639972876362714,0.06873385012919897
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,4,5807,0.453414933435556,0.09178577578784226
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,5,4130,0.542302385917876,0.1368038740920097
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,6,1321,0.6400775982519608,0.17032551097653292
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,7,334,0.7378275592526989,0.281437125748503
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,8,72,0.8410764452483919,0.4305555555555556
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,9,15,0.928057316939036,0.4666666666666667
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,0,6,0.07398578400413196,0.0
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,1,52,0.16053865721019414,0.1346153846153846
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,2,191,0.2619867490224189,0.1099476439790576
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,3,760,0.36148228739437305,0.05394736842105263
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,4,2661,0.4552721458129173,0.07666290868094701
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,5,2237,0.5423285067747574,0.11578006258381761
