Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,Logistic Regression,42,In-domain Test,3,3072,0.35451941791689023,0.078125
Baseline,None,Logistic Regression,42,In-domain Test,4,3656,0.449875294795378,0.09682713347921225
Baseline,None,Logistic Regression,42,In-domain Test,5,2664,0.545241354128441,0.14527027027027026
Baseline,None,Logistic Regression,42,In-domain Test,6,1509,0.6428409353876209,0.15705765407554673
Baseline,None,Logistic Regression,42,In-domain Test,7,632,0.7456669954559471,0.22151898734177214
Baseline,None,Logistic Regression,42,In-domain Test,8,238,0.8435465535696816,0.36134453781512604
Baseline,None,Logistic Regression,42,In-domain Test,9,66,0.9404656200697927,0.42424242424242425
Baseline,None,Logistic Regression,42,Shifted Test,0,73,0.0706297411417512,0.0684931506849315
Baseline,None,Logistic Regression,42,Shifted Test,1,302,0.15982328986884742,0.059602649006622516
Baseline,None,Logistic Regression,42,Shifted Test,2,738,0.2596130755737545,0.06639566395663957
Baseline,None,Logistic Regression,42,Shifted Test,3,1480,0.3539590739317842,0.075
Baseline,None,Logistic Regression,42,Shifted Test,4,1798,0.44796804061057965,0.08954393770856507
Baseline,None,Logistic Regression,42,Shifted Test,5,1284,0.543602650317819,0.11292834890965732
Baseline,None,Logistic Regression,42,Shifted Test,6,716,0.644288641031228,0.16620111731843576
Baseline,None,Logistic Regression,42,Shifted Test,7,279,0.7400809325624965,0.22580645161290322
Baseline,None,Logistic Regression,42,Shifted Test,8,83,0.8413196658513632,0.25301204819277107
Baseline,None,Logistic Regression,42,Shifted Test,9,28,0.950831168464252,0.5
Baseline,None,Logistic Regression,43,In-domain Test,0,214,0.06298662563481272,0.03271028037383177
Baseline,None,Logistic Regression,43,In-domain Test,1,604,0.1576802179784767,0.06622516556291391
Baseline,None,Logistic Regression,43,In-domain Test,2,1656,0.2570834103161874,0.06944444444444445
Baseline,None,Logistic Regression,43,In-domain Test,3,3101,0.35284844079312877,0.08384392131570462
Baseline,None,Logistic Regression,43,In-domain Test,4,3446,0.44884313438876866,0.10504933255948927
Baseline,None,Logistic Regression,43,In-domain Test,5,2686,0.5458274682732722,0.13067758749069247
Baseline,None,Logistic Regression,43,In-domain Test,6,1530,0.6440018501936221,0.16405228758169935
