seed,noise_rate,train_prevalence_clean,train_prevalence_noisy,n_flipped
42,0.0,0.11114121028789863,0.11114121028789863,0
42,0.05,0.11114121028789863,0.1499691483437928,3322
42,0.1,0.11114121028789863,0.18870678886932443,6644
42,0.2,0.11114121028789863,0.26667870633738167,13289
43,0.0,0.11164375301495418,0.11164375301495418,0
43,0.05,0.11164375301495418,0.15053666184273998,3316
43,0.1,0.11164375301495418,0.18875120598166908,6633
43,0.2,0.11164375301495418,0.2664767245537868,13267
44,0.0,0.1115663884788045,0.1115663884788045,0
44,0.05,0.1115663884788045,0.1508993401825796,3319
44,0.1,0.1115663884788045,0.18923804645837727,6638
44,0.2,0.1115663884788045,0.2674520201259378,13276
