Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,43,Shifted Test,0.91074143450482,0.8751580677989204,0.11940941081266511
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,In-domain Test,0.867667899167167,0.7988828842879767,0.14506514938519469
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,Shifted Test,0.8780768906996957,0.8149703098059984,0.1391400801887674
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,In-domain Test,0.9041892414106985,0.8619410129089399,0.12438235283032796
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,Shifted Test,0.9102621690486092,0.8743347483533032,0.12092314967558732
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,43,In-domain Test,0.8672039474472694,0.7981169669024908,0.149718091444081
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,43,Shifted Test,0.8774875162577243,0.8139583436496013,0.14411271986886515
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,43,In-domain Test,0.9036557908147878,0.8607906943065079,0.1287051786444645
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,43,Shifted Test,0.90962050998361,0.8732655628481991,0.1253999558986334
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,43,In-domain Test,0.8667181432003686,0.7972111222833386,0.1645977799348594
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,43,Shifted Test,0.8770901374862493,0.8132160988450889,0.15990966465372444
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,43,In-domain Test,0.9017671658191322,0.8579017584617419,0.1447730401970569
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,43,Shifted Test,0.9079697883633244,0.8703353253905936,0.14188331440791865
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,43,In-domain Test,0.8641705073381744,0.7881533130920141,0.14432832364916687
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,43,Shifted Test,0.8745774295876239,0.8054474538598987,0.13846654002273207
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,43,In-domain Test,0.8978248539685907,0.8518952120494165,0.12708358118832283
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,43,Shifted Test,0.9054671979140327,0.8666043352080025,0.12285490010855274
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,43,In-domain Test,0.8586923525993122,0.7874161706753224,0.15993786798618764
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,43,Shifted Test,0.8693304701174227,0.8042481003532385,0.1524376033860869
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,43,In-domain Test,0.8939736918995439,0.8484778386559247,0.13087407266416617
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,43,Shifted Test,0.8999335252859062,0.8596751674223322,0.12739517208177023
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,43,In-domain Test,0.8674487109805553,0.7965860871847418,0.1788326147449662
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,43,Shifted Test,0.8785887384692381,0.8150589802499886,0.16926849335580915
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,0.9017560335646025,0.858008448759458,0.12517648083039942
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,0.9091448249350422,0.8725054463899672,0.12079385263816268
Baseline,None,0.0,None,0.0,None,Logistic Regression,44,In-domain Test,0.8677219730604683,0.7989605811750342,0.1433667573828299
Baseline,None,0.0,None,0.0,None,Logistic Regression,44,Shifted Test,0.8787656995167339,0.8156177533053055,0.1367880792208246
Baseline,None,0.0,None,0.0,None,LightGBM,44,In-domain Test,0.9017779441436226,0.8601635087513587,0.12473983070929918
Baseline,None,0.0,None,0.0,None,LightGBM,44,Shifted Test,0.9105702100850487,0.8747647427689078,0.11950501071668887
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,44,In-domain Test,0.8677219730604683,0.7989605811750342,0.1433667573828299
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,44,Shifted Test,0.8787656995167339,0.8156177533053055,0.1367880792208246
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,44,In-domain Test,0.9017779441436226,0.8601635087513587,0.12473983070929918
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,44,Shifted Test,0.9105702100850487,0.8747647427689078,0.11950501071668887
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,44,In-domain Test,0.867142339276062,0.7991121244745574,0.14559235215861416
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,44,Shifted Test,0.8779513687042316,0.8150540219521448,0.13916775475306736
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,44,In-domain Test,0.9014319678550128,0.8589553137422388,0.12580882286200826
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,44,Shifted Test,0.910015189527339,0.8737829628612731,0.1210066347392616
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,44,In-domain Test,0.8666420357576454,0.7988753703111969,0.15012667910129554
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,44,Shifted Test,0.8773466767057558,0.8144942077869656,0.14406630583891147
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,44,In-domain Test,0.9007811023730965,0.8578002429623119,0.12985839802195076
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,44,Shifted Test,0.9095377206076053,0.8726087989008029,0.1253320318760825
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,44,In-domain Test,0.8661583388613834,0.7986312756322035,0.16510217106676964
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,44,Shifted Test,0.8767455575045033,0.8138821002922262,0.1601669163783278
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,44,In-domain Test,0.898949547503878,0.8539000136233794,0.1459946233721215
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,44,Shifted Test,0.9076534429266734,0.8692911159347226,0.14225918312337393
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,44,In-domain Test,0.8630550883928724,0.787799696478097,0.14514050030249398
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,44,Shifted Test,0.8744336751044618,0.8054510638616438,0.13854718600610663
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,44,In-domain Test,0.8947896910254429,0.8486355928624225,0.12860442264674207
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,44,Shifted Test,0.9051060576307379,0.8662126827414071,0.12296433628580633
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,44,In-domain Test,0.8584419923522147,0.7868649439203736,0.1612999278178331
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,44,Shifted Test,0.8692331823862265,0.8042745773916988,0.1531670441765031
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,44,In-domain Test,0.8922231345752121,0.8466804354261575,0.1315596944933745
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,44,Shifted Test,0.8998294257235077,0.8594430252184083,0.12713473377177592
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,44,In-domain Test,0.8665791772833195,0.7965053099740776,0.18006976140522093
